temporada,time,colocacao,media_pontos_partida,desvio_padrao
2022,Corinthians,4,1.71,1.29
2022,Coritiba,15,1.11,1.35
2022,Cuiaba,16,1.08,1.24
2022,Flamengo,5,1.63,1.36
2022,Fluminense,3,1.84,1.35
2022,Fortaleza,8,1.45,1.33
2022,Goias,13,1.21,1.23
2022,Internacional,2,1.92,1.19
2022,Juventude,20,0.58,0.86
2022,Palmeiras,1,2.13,1.12
2022,Santos,12,1.24,1.28
2022,Sao Paulo,9,1.42,1.22
2023,America-MG,20,0.63,1.02
2023,Athletico-PR,7,1.47,1.25
2023,Atletico-MG,3,1.74,1.33
2023,Bahia,16,1.16,1.33
2023,Botafogo-RJ,5,1.68,1.32
2023,Bragantino,6,1.63,1.3
2023,Corinthians,13,1.32,1.23
2023,Coritiba,19,0.79,1.21
2023,Cruzeiro,14,1.24,1.22
2023,Cuiaba,12,1.34,1.34
2023,Flamengo,3,1.74,1.33
2023,Fluminense,7,1.47,1.37
2023,Fortaleza,10,1.42,1.35
2023,Goias,18,1.0,1.21
2023,Gremio,2,1.79,1.4
2023,Internacional,9,1.45,1.33
2023,Palmeiras,1,1.84,1.28
2023,Santos,17,1.13,1.28
2023,Sao Paulo,11,1.39,1.31
2023,Vasco,15,1.18,1.31
2024,Athletico-PR,17,1.11,1.29
2024,Atletico-GO,19,0.79,1.14
2024,Atletico-MG,11,1.24,1.22
2024,Bahia,8,1.39,1.37
2024,Botafogo-RJ,1,2.08,1.19
2024,Bragantino,16,1.16,1.2
2024,Corinthians,7,1.47,1.31
2024,Criciuma,18,1.0,1.21
2024,Cruzeiro,9,1.37,1.32
2024,Cuiaba,19,0.79,1.07
2024,Flamengo,3,1.84,1.28
2024,Fluminense,13,1.21,1.3
2024,Fortaleza,4,1.79,1.28
2024,Gremio,14,1.18,1.31
2024,Internacional,5,1.71,1.29
2024,Juventude,14,1.18,1.25
2024,Palmeiras,2,1.92,1.32
2024,Sao Paulo,6,1.55,1.37
2024,Vasco,10,1.32,1.36
2024,Vitoria,11,1.24,1.34
